ID,coord_x,coord_y,coord_z,mean_activation,std_activation,median_activation,min_activation,max_activation
1,-1381,-698,275,0.8443208187148141,4.3209896222950785,1.8068611584836107e-09,-1.5516820192838225e-09,161.58481790180065
3,-1376,-710,275,0.7499575077757091,4.466181211726137,1.0350473228354022e-09,-6.021585964405705e-10,158.91920090063766
4,-1317,-720,275,0.5562243571596645,2.435350258672113,3.2981801302305e-09,-1.2141051954888425e-09,103.59017588436691
6,-1272,-726,275,1.2208229148649852,8.585470946986868,3.272126981370104e-08,-7.349280796066536e-09,455.3862617419597
7,-1229,-708,275,0.6477325625897009,4.1798967351580085,1.5524177836874637e-08,-3.634116662080926e-09,204.74750865458205
8,-1245,-701,275,0.779433989574228,3.846411604501145,1.8463002641485307e-08,-5.809028514786558e-09,142.710455855451
10,-1213,-703,275,1.8197549108109268,14.75304861293212,9.553390538960185e-09,-3.6589825576551724e-09,916.9423196791271
11,-1192,-694,275,1.0369339614361055,6.451969746468557,2.2338298503007578e-08,-7.0824967870481165e-09,266.7990398278015
12,-1169,-705,275,1.7115161875199618,10.686013487192803,2.4677695726443593e-08,-7.576509675026411e-09,431.8232249031128
13,-1153,-704,275,1.8595033931335656,9.877125696670092,2.2064417887713265e-08,-1.0228487830258047e-08,512.7075612323387
14,-1168,-727,275,2.1179905076780914,10.030056145035495,7.212225433788668e-08,-2.268939855262267e-08,395.24009143244353
15,-1129,-699,275,3.1053455781338037,21.11093119264115,3.951384098197679e-08,-1.3921042735530441e-08,915.9808166177086
16,-1132,-724,275,1.3261662004571106,7.694011094080948,2.258399488851591e-09,-8.969241592380679e-10,362.1603643641931
17,-1074,-696,275,3.201108096106063,23.4603626461425,1.5934713237484802e-08,-4.877877434482607e-09,1060.8649286740172
18,-1091,-718,275,1.288992919577677,6.6489448956558626,1.0976583579469676e-08,-2.778037287216276e-09,413.48674647655093
19,-1064,-690,275,1.1298721309189164,6.762354412938204,1.91416745769352e-08,-8.649146187415415e-09,405.61560645485355
20,-1011,-725,275,1.126813821204066,7.445381785024672,1.0804090318501694e-08,-3.6377926697292843e-09,419.83597010966497
