label,ID,trial,trial_type,valid_frames,valid_trial
NaturalVideo,v000598,550,train,300,True
NaturalVideo,v001941,464,train,300,True
NaturalImages,v484546,704,final_test_bonus,313,True
NaturalVideo,v310268,285,train,300,True
NaturalVideo,v528186,383,live_test_main,300,True
NaturalVideo,v515050,147,train,300,True
GaussianDot,v001927,301,oracle,315,True
NaturalVideo,v278838,261,train,300,True
NaturalVideo,v910753,619,final_test_bonus,300,True
NaturalVideo,v482709,321,live_test_main,300,True
NaturalVideo,v554569,167,final_test_bonus,300,True
GaussianDot,v001927,400,oracle,315,True
NaturalVideo,v135995,433,train,300,True
NaturalVideo,v152277,646,final_test_main,300,True
NaturalVideo,v290032,71,train,300,True
NaturalVideo,v729085,190,oracle,300,True
NaturalVideo,v579266,180,final_test_bonus,300,True
GaussianDot,v450559,475,train,315,True
NaturalVideo,v687648,571,final_test_main,300,True
NaturalVideo,v355022,305,live_test_main,300,True
NaturalVideo,v687648,152,final_test_main,300,True
NaturalVideo,v003460,35,train,300,True
NaturalVideo,v359383,520,final_test_bonus,300,True
NaturalVideo,v858371,291,oracle,300,True
GaussianDot,v001927,132,train,315,True
PinkNoise,v262991,214,final_test_bonus,324,True
NaturalVideo,v976762,430,final_test_main,300,True
NaturalVideo,v567238,541,oracle,300,True
NaturalVideo,v796870,386,train,300,True
GaussianDot,v001927,232,final_test_main,315,True
NaturalVideo,v748592,340,train,300,True
NaturalVideo,v611064,328,final_test_bonus,300,True
NaturalVideo,v674757,630,train,300,True
NaturalVideo,v152277,18,train,300,True
NaturalVideo,v547225,419,oracle,300,True
NaturalVideo,v919728,177,train,300,True
NaturalVideo,v773317,330,train,300,True
NaturalVideo,v635821,26,train,300,True
NaturalImages,v089720,716,train,310,True
NaturalVideo,v084914,633,train,300,True
PinkNoise,v687202,43,final_test_bonus,324,True
PinkNoise,v789249,497,final_test_bonus,324,True
NaturalVideo,v228672,498,train,300,True
PinkNoise,v687202,169,final_test_main,324,True
GaussianDot,v450559,282,oracle,315,True
NaturalVideo,v078795,278,final_test_bonus,300,True
NaturalVideo,v851441,215,live_test_main,300,True
NaturalImages,v484546,686,train,313,True
PinkNoise,v035085,324,train,324,True
NaturalVideo,v635914,561,final_test_bonus,300,True
NaturalVideo,v240939,181,train,300,True
GaussianDot,v560015,119,train,315,True
GaussianDot,v450559,614,train,315,True
PinkNoise,v789249,80,train,324,True
NaturalVideo,v334875,629,train,300,True
GaussianDot,v124874,314,train,315,True
NaturalVideo,v902835,354,train,300,True
NaturalImages,v360898,660,oracle,313,True
NaturalVideo,v741098,348,final_test_main,300,True
NaturalVideo,v482709,604,train,300,True
NaturalVideo,v797316,626,oracle,300,True
NaturalImages,v089720,671,final_test_bonus,310,True
PinkNoise,v262991,657,train,324,True
NaturalVideo,v363608,3,final_test_bonus,300,True
NaturalVideo,v408511,622,train,300,True
GaussianDot,v001927,515,final_test_main,315,True
NaturalVideo,v240939,393,train,300,True
NaturalVideo,v292752,21,train,300,True
NaturalVideo,v967131,443,oracle,300,True
NaturalVideo,v246058,511,train,300,True
NaturalImages,v089720,678,train,310,True
NaturalVideo,v499554,452,train,300,True
NaturalImages,v683710,708,train,319,True
GaussianDot,v885899,27,final_test_main,315,True
NaturalVideo,v704813,174,final_test_main,300,True
NaturalVideo,v545497,352,oracle,300,True
NaturalVideo,v927429,1,train,300,True
NaturalVideo,v631020,136,train,300,True
NaturalVideo,v631020,552,final_test_bonus,300,True
NaturalVideo,v631020,329,train,300,True
NaturalVideo,v010746,95,live_test_main,300,True
NaturalVideo,v681719,115,train,300,True
PinkNoise,v789249,117,train,324,True
NaturalImages,v683710,672,train,319,True
GaussianDot,v247654,410,oracle,315,True
NaturalVideo,v967131,146,final_test_bonus,300,True
NaturalVideo,v929537,59,train,300,True
GaussianDot,v560015,602,live_test_main,315,True
NaturalVideo,v351738,217,train,300,True
NaturalVideo,v603574,61,train,300,True
NaturalVideo,v927352,311,train,300,True
NaturalVideo,v949655,106,train,300,True
NaturalVideo,v262898,518,oracle,300,True
NaturalVideo,v301122,501,train,300,True
PinkNoise,v687202,374,train,324,True
NaturalVideo,v481974,12,final_test_bonus,300,True
GaussianDot,v560015,33,train,315,True
NaturalVideo,v506539,436,final_test_main,300,True
NaturalVideo,v967131,560,train,300,True
NaturalVideo,v478722,472,oracle,300,True
NaturalVideo,v909970,138,final_test_main,300,True
NaturalVideo,v886176,563,train,300,True
PinkNoise,v035085,412,train,324,True
NaturalVideo,v919728,11,train,300,True
NaturalVideo,v390719,359,train,300,True
NaturalVideo,v263619,508,final_test_main,300,True
NaturalVideo,v851564,258,train,300,True
NaturalVideo,v135995,486,final_test_main,300,True
NaturalImages,v484546,676,live_test_main,313,True
NaturalImages,v484546,667,final_test_bonus,313,True
GaussianDot,v001927,465,train,315,True
