ID,coord_x,coord_y,coord_z,mean_activation,std_activation,median_activation,min_activation,max_activation
1,-1383,-661,200,2.0036659240722656,6.649865627288818,9.187555605194575e-08,-2.006628196937754e-09,190.8652801513672
2,-1401,-672,200,1.8018107414245605,5.2869768142700195,2.616455674342433e-07,-3.4915290658688036e-09,197.58758544921875
4,-1386,-678,200,2.0476505756378174,6.498692035675049,1.455436375863428e-07,-2.101001816967596e-09,267.902587890625
7,-1358,-675,200,2.5054001808166504,7.318655967712402,2.0635756925457827e-07,-3.622571131955965e-09,188.5706329345703
9,-1309,-644,200,3.2572708129882812,13.487957954406738,4.3997553689223423e-07,-9.787988197729192e-09,824.1940307617188
12,-1264,-666,200,3.7432377338409424,15.651805877685547,5.642604605782253e-07,-1.0628780522381476e-08,1074.150390625
13,-1236,-659,200,6.77650260925293,33.98670959472656,1.1302248594802222e-06,-2.8633449389303678e-08,1255.985595703125
14,-1233,-675,200,5.029940605163574,23.298002243041992,4.227369458931207e-07,-8.429918096908295e-09,994.9385375976562
15,-1209,-659,200,4.134350776672363,15.771815299987793,7.442183118655521e-07,-1.9304936316189014e-08,652.3527221679688
17,-1190,-675,200,8.616573333740234,39.455936431884766,7.236140504573996e-07,-2.1405190508971828e-08,1316.5042724609375
19,-1191,-660,200,7.262557506561279,32.02687072753906,1.6802208335775504e-07,-5.271445502330607e-09,1095.507080078125
20,-1160,-661,200,4.731169700622559,24.274070739746094,9.637219591240864e-07,-2.5786334845179226e-08,919.5072631835938
21,-1146,-665,200,2.7257680892944336,10.661053657531738,3.834927326806792e-07,-6.998114976397574e-09,446.267578125
22,-1171,-659,200,2.83630108833313,15.7034273147583,4.436446943145711e-07,-1.1400367760927566e-08,830.8014526367188
24,-1060,-678,200,1.8956671953201294,9.510665893554688,3.130566383902078e-08,-1.5448685664054551e-09,377.3738708496094
25,-1072,-671,200,1.2346298694610596,4.427308559417725,7.562840664832038e-08,-1.3773274742945318e-09,191.64332580566406
26,-1024,-676,200,0.8675806522369385,3.9349241256713867,1.482954843368134e-07,-3.1396676369865872e-09,138.0614776611328
27,-1034,-670,200,0.9374579191207886,3.5645229816436768,9.480685037033254e-08,-2.614464200689781e-09,89.3203353881836
28,-1000,-682,200,1.1039165258407593,3.2347934246063232,2.559494589604583e-07,-3.4857394748399884e-09,82.40319061279297
29,-1013,-670,200,0.7229404449462891,2.975360155105591,5.769757294160627e-08,-1.0440953657209207e-09,98.49624633789062
30,-942,-661,200,0.8208800554275513,4.150707721710205,5.238943856511469e-08,-2.127930720519089e-09,191.75514221191406
31,-931,-659,200,0.9181677103042603,3.051921844482422,2.325958448068377e-08,-4.665983710516741e-10,85.11444854736328
32,-917,-661,200,0.8715882301330566,3.019109010696411,4.5374410007070765e-08,-1.1510338238096551e-09,117.44847869873047
33,-906,-673,200,1.4894171953201294,4.343021869659424,9.858725888989284e-07,-1.647835290441435e-08,131.24740600585938
34,-874,-675,200,2.4787473678588867,10.925917625427246,3.882973658164701e-07,-8.554070340949238e-09,369.5308837890625
35,-869,-657,200,1.2602170705795288,5.550906181335449,1.699353724404773e-08,-4.5749351529345006e-10,177.02163696289062
37,-839,-677,200,1.4661903381347656,6.963652610778809,9.868637107501854e-08,-2.9851487948207023e-09,386.9527893066406
38,-796,-664,200,2.840700149536133,6.466293811798096,1.8854530026146676e-06,-1.209342315178219e-08,153.5730743408203
39,-1401,-615,200,1.7656525373458862,4.871022701263428,1.030898829412763e-06,-1.3071169036038555e-08,106.0706558227539
40,-1406,-636,200,1.6915645599365234,5.320580005645752,2.6834752020477026e-07,-4.179835588757896e-09,159.38633728027344
41,-1371,-627,200,2.034759759902954,6.798064231872559,3.021959571469779e-07,-6.503561689186199e-09,242.6483154296875
42,-1339,-623,200,9.77254867553711,49.84727096557617,7.59691090479464e-07,-2.2816211142639986e-08,1626.0147705078125
43,-1356,-621,200,3.345231771469116,12.283466339111328,1.098811026167823e-06,-2.011744193453069e-08,635.3521118164062
44,-1293,-622,200,5.187218189239502,16.87798500061035,5.975722388029681e-07,-1.0348172096996677e-08,660.515380859375
45,-1310,-619,200,4.069998741149902,16.22882843017578,7.892941766840522e-07,-1.593574872060799e-08,843.2728271484375
46,-1257,-626,200,4.605720043182373,23.911781311035156,7.921072864292e-08,-2.3394075565619232e-09,1249.9644775390625
47,-1277,-639,200,6.322686195373535,34.6544075012207,4.753909195187589e-07,-1.2650557934534845e-08,1428.0772705078125
48,-1255,-638,200,5.202073097229004,23.331674575805664,2.373295444613177e-07,-5.371421973876522e-09,1463.86865234375
49,-1224,-604,200,8.374213218688965,36.522132873535156,1.5551157162008167e-07,-3.949130800151579e-09,1385.716552734375
51,-1199,-626,200,11.394338607788086,52.27303695678711,2.5564338557160227e-06,-7.135555790682702e-08,1656.9744873046875
52,-1190,-626,200,23.2208194732666,80.36932373046875,3.5417047001828905e-06,-1.085748024820532e-07,1798.1236572265625
54,-1154,-634,200,5.684165000915527,29.851909637451172,6.263571776798926e-07,-1.2585378961205151e-08,1122.9810791015625
55,-1140,-623,200,5.425024032592773,26.289243698120117,3.1670143130213546e-07,-7.881237884532766e-09,854.6532592773438
56,-1174,-614,200,4.408050537109375,14.978842735290527,6.715140443702694e-07,-1.2901876900173193e-08,480.112548828125
57,-1103,-638,200,2.2445926666259766,9.891210556030273,1.7572058652604028e-07,-5.3943240985177e-09,362.5816345214844
58,-1109,-626,200,7.282955646514893,27.859304428100586,1.094524236577854e-06,-3.495300759936981e-08,681.1297607421875
59,-1120,-619,200,2.603224515914917,12.049177169799805,4.300740670259984e-07,-1.1708658043119158e-08,526.6019287109375
61,-1037,-610,200,2.9754550457000732,11.418022155761719,1.7191635492963542e-07,-5.5665614340227876e-09,252.93580627441406
62,-1037,-620,200,0.8905611634254456,5.178886890411377,4.1149323948275196e-08,-9.217175911402364e-10,183.89291381835938
63,-990,-603,200,2.2271759510040283,8.920731544494629,4.576773449116445e-08,-1.4289917027454635e-09,229.0397186279297
64,-971,-614,200,1.4994813203811646,5.760538578033447,2.777926226826821e-07,-4.695372979313106e-09,162.96485900878906
65,-953,-617,200,6.1198577880859375,25.053462982177734,4.945967475578072e-07,-2.3937245074989733e-08,557.3247680664062
66,-953,-605,200,2.8374948501586914,13.21664047241211,1.7799200691115402e-07,-7.376436794714891e-09,496.05670166015625
67,-943,-629,200,2.141887664794922,8.407243728637695,2.547983513068175e-07,-8.341932478117542e-09,222.077880859375
68,-960,-617,200,1.9511815309524536,7.124760150909424,1.8862098727367993e-07,-5.2125934679736474e-09,177.3813018798828
69,-905,-621,200,1.5492262840270996,6.404752254486084,1.7014438924434216e-07,-5.213176113016971e-09,236.92800903320312
70,-924,-627,200,1.7291187047958374,4.926769256591797,6.147918725218915e-07,-1.2088806400356589e-08,120.11568450927734
71,-900,-634,200,2.0703229904174805,7.531997203826904,4.449856874089164e-07,-1.5649094464720292e-08,176.51466369628906
