recording,label,trial,trial_type,video_ID,valid_frames,valid_trial,valid_frames_video,valid_frames_response,valid_frames_pupil,valid_frames_gaze,valid_frames_locomotion,valid_video,valid_response,valid_pupil,valid_gaze,valid_locomotion
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,203,live_test_main,v797395,300,True,300,324,324,300,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,193,live_test_main,v587422,300,True,300,324,324,300,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,459,train,v678479,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,19,final_test_main,v484679,300,True,300,324,324,300,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,289,train,v059972,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,25,final_test_bonus,v848761,240,True,240,324,324,240,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,576,final_test_bonus,v908282,240,True,240,324,324,240,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,26,train,v606041,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,685,train,v324775,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,476,live_test_main,v797395,300,True,300,324,324,300,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,209,live_test_main,v562032,300,True,300,324,324,300,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,557,train,v395317,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,395,train,v315323,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,616,train,v585983,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,78,final_test_main,v131847,300,True,300,324,324,300,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,18,train,v040998,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,645,train,v997393,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,324,train,v953172,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,PinkNoise,696,live_test_bonus,v002131,324,True,324,324,324,324,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,431,train,v654229,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,375,final_test_bonus,v908282,240,True,240,324,324,240,324,True,False,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,633,train,v891857,300,True,300,300,324,300,324,True,True,True,True,True
dynamic29515-10-12-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,163,train,v519863,300,True,300,300,324,300,324,True,True,True,True,True
