ID,coord_x,coord_y,coord_z,mean_activation,min_activation,max_activation,std_activation
1,-1232,-656,250,0.5257272925285699,-4.8420842631325916e-09,113.28376547288714,2.5748317878535247
3,-1196,-628,250,0.7701400274558572,-3.9403177282498217e-10,103.98623100727764,3.2836925505069754
4,-1121,-642,250,0.8785546989878091,-2.4730478887391093e-09,194.51496225238472,5.413026091713699
6,-1135,-653,250,0.6858425837773546,-4.073739438017592e-10,71.97036375692085,2.543703920291115
7,-1072,-628,250,0.4296827549819288,-2.8315382448719246e-10,187.518474314263,3.0899438650329323
8,-1090,-642,250,0.7471688521282334,-1.8196565417151009e-09,132.16511184798804,3.165825788947677
9,-1084,-655,250,0.8417560778642695,-4.216891162248841e-09,120.29931535554705,3.7748288687939144
10,-1018,-636,250,1.3191691825976655,-1.7824138058679773e-09,427.9493875985598,8.991688303205956
11,-1043,-647,250,0.8852808208860393,-1.989304600239011e-09,190.19379817260457,4.11013718771792
12,-1022,-648,250,0.9996735036829961,-6.064449370413039e-10,268.63804799448445,5.795674816465769
14,-936,-633,250,2.5356378808632747,-8.449581154216231e-09,594.1210454017775,13.67414169013703
15,-936,-654,250,1.949124253058515,-2.1779048183912636e-09,571.1457448639746,13.190006907206469
16,-881,-657,250,1.2488968625927805,-3.415663677976016e-09,432.4621984832393,5.68909677636675
17,-833,-638,250,3.3213196786792647,-2.2168438182052127e-08,717.8080698514582,20.061293165959576
19,-860,-651,250,1.0568746449722268,-1.2529724011791751e-09,270.9833504218629,5.7785104099731734
20,-848,-652,250,1.0668224045964696,-3.752045743984895e-09,186.84999062113138,4.977637558455377
21,-801,-638,250,0.87951360285206,-6.145655453224052e-09,116.1624909559327,3.8009873701402177
22,-764,-652,250,0.9362415619778109,-9.986151377164898e-09,136.46941137930938,4.0367581656106735
24,-684,-617,250,0.9124724176059512,-3.872347719620207e-09,261.3349613820341,4.350928759812144
25,-649,-640,250,0.7421450133124675,-1.5829630912216707e-09,105.90528669598059,3.2050191420853302
26,-654,-655,250,0.7240316163300788,-2.0980809025511194e-09,88.14937519880117,2.677448650724806
27,-1241,-609,250,0.7556457337445792,-1.857035944149126e-09,33.04335798217876,2.182794608936937
28,-1191,-606,250,1.4259518024393896,-2.001053652359313e-09,532.3338957628258,9.900210828967456
29,-1200,-593,250,2.2374248804647885,-7.747063580523045e-09,708.017822986941,14.253768348594356
30,-1194,-579,250,1.3447011435407732,-1.7474035756819772e-08,872.6186633945443,10.492484867816522
31,-1202,-611,250,0.8191000415988022,-1.002531771843829e-09,172.6129564730288,4.043146216687869
32,-1153,-577,250,3.659713365573978,-1.0374740999294659e-08,1361.295155882112,21.812460973109413
34,-1163,-601,250,1.205613366518433,-4.754283952803719e-09,214.44941859202734,5.822674934920863
35,-1120,-580,250,3.1090227505333323,-1.6442369666675457e-08,1240.4577442679142,25.095434868733896
36,-1122,-596,250,2.753629968923923,-2.753885924462325e-08,1820.641959066385,24.225432496054452
37,-1104,-587,250,1.7429183356680116,-2.7567736876122173e-09,673.778170349511,12.429716009633468
38,-1109,-603,250,1.4261224997674344,-1.246005421820595e-08,334.91194820502074,7.022145890280552
39,-1076,-586,250,2.213142708435109,-5.7519312376464525e-09,810.89268695283,15.390480269417845
40,-1039,-599,250,0.8317618575055559,-6.6707390215478136e-09,90.67286832809798,3.4528636106897967
41,-989,-600,250,1.4273805409712563,-5.4335426605604534e-09,1033.6045017367076,16.47669212792499
