,ID,coord_x,coord_y,coord_z,mean,std,median,min,max
0,1,-1023,-582,325,3.6803600788116455,15.993167877197266,2.963042788906023e-07,-6.771866623012102e-09,737.786865234375
1,2,-1011,-605,325,2.7042644023895264,16.46424674987793,2.1878490485960356e-07,-6.222383941434373e-09,1334.602783203125
2,3,-1003,-601,325,1.9162875413894653,10.128973960876465,4.905687092104927e-07,-1.3031755230485942e-08,439.44970703125
3,5,-984,-595,325,0.8408958315849304,3.2112979888916016,1.5610494585871493e-07,-4.499967509730141e-09,138.1312255859375
4,6,-974,-586,325,1.1562644243240356,4.067151069641113,3.386779923175709e-08,-8.07401756564019e-10,98.91504669189453
5,7,-902,-582,325,0.9743936061859131,4.101994037628174,6.358358461966418e-08,-2.1609234401864796e-09,181.20379638671875
6,8,-807,-590,325,4.172667026519775,26.43121910095215,2.7984003736492014e-07,-1.203318067410919e-08,1306.1689453125
7,9,-797,-580,325,3.0822789669036865,21.126150131225586,2.2817937406216515e-07,-8.500730785954147e-09,964.0720825195312
8,10,-809,-577,325,3.4298720359802246,29.505891799926758,2.9718418659285817e-07,-1.491956957977436e-08,1418.6546630859375
9,11,-759,-606,325,10.185091018676758,57.79758834838867,4.905069772576098e-07,-2.865059656187441e-08,1684.455078125
10,13,-775,-582,325,3.856329917907715,13.139850616455078,1.0504044212211738e-06,-2.4316772595511793e-08,580.295166015625
11,14,-736,-584,325,6.81209135055542,38.34487533569336,1.6865196528215165e-07,-8.007008389654402e-09,1354.6702880859375
12,15,-719,-591,325,8.67525863647461,49.446964263916016,9.272450256503362e-07,-4.4998163417631076e-08,1456.31396484375
13,16,-689,-588,325,6.622400760650635,49.15645980834961,3.287287881903467e-07,-1.2439651975171273e-08,2589.712646484375
14,17,-685,-604,325,5.265976905822754,23.962186813354492,5.674966701008088e-07,-1.141625904921284e-08,1480.9639892578125
15,18,-651,-583,325,3.718628406524658,21.80565071105957,8.181897896974988e-07,-1.822784589933235e-08,1399.0186767578125
16,20,-611,-579,325,7.03429651260376,45.874759674072266,9.334740411759412e-07,-3.9168991605720294e-08,1715.17724609375
17,23,-497,-588,325,6.23707389831543,34.003509521484375,2.1147336326521327e-07,-4.868974112781643e-09,1258.9532470703125
18,26,-1000,-536,325,1.4087162017822266,10.956454277038574,5.93517128777421e-08,-2.669809262556555e-09,653.6515502929688
19,27,-1022,-530,325,2.721177339553833,7.666942596435547,2.000464974116767e-06,-2.9988559191451714e-08,272.8912353515625
20,28,-984,-548,325,1.7569082975387573,6.216395378112793,7.659892844458227e-07,-1.730393783816453e-08,255.29226684570312
21,29,-950,-563,325,1.0784285068511963,4.799694061279297,3.453400410080576e-08,-8.802060746937457e-10,244.69964599609375
22,30,-962,-541,325,1.4033637046813965,5.789897918701172,9.021911751005973e-08,-2.6211772752304796e-09,213.29559326171875
23,31,-921,-545,325,0.9191383123397827,3.8986470699310303,1.0017524942895761e-07,-2.9558755443304108e-09,140.3517303466797
24,32,-863,-559,325,1.6619596481323242,9.20273208618164,1.1738835326013941e-07,-5.153795612500289e-09,338.68402099609375
25,34,-762,-540,325,2.759816884994507,9.129761695861816,1.8453151540143153e-07,-4.325004798744203e-09,183.2135772705078
26,35,-714,-550,325,9.789145469665527,51.28355026245117,1.0801850294228643e-06,-4.550320298335464e-08,2247.872802734375
27,37,-706,-530,325,4.840310573577881,20.218311309814453,4.3740598698605027e-07,-8.627918823833625e-09,618.7559204101562
28,39,-691,-564,325,8.663631439208984,53.27989959716797,3.035880808965885e-07,-1.2669517879260184e-08,1790.0260009765625
29,40,-685,-545,325,4.390743255615234,22.368555068969727,5.53501763533859e-07,-1.830065166075201e-08,1088.649658203125
30,41,-644,-542,325,12.29987621307373,61.69369125366211,1.1546350151547813e-06,-5.808944436580532e-08,1713.297607421875
31,42,-602,-550,325,4.534160614013672,23.2586727142334,1.860959741861734e-07,-1.1207988315220518e-08,661.1585693359375
32,44,-487,-545,325,4.431213855743408,19.00533103942871,7.261467089847429e-07,-1.6286438864199226e-08,647.7489624023438
33,46,-453,-555,325,3.4513280391693115,18.949115753173828,7.356965170401963e-07,-1.6344738895668343e-08,1058.6510009765625
34,47,-1013,-513,325,4.398539066314697,22.322919845581055,9.06373941234051e-07,-3.2679405848057286e-08,762.1428833007812
35,49,-1002,-521,325,1.8709962368011475,8.398128509521484,1.4334626996514999e-07,-4.506990780583919e-09,475.3769226074219
36,50,-1007,-505,325,1.7955079078674316,10.97073745727539,5.334766584041972e-08,-2.050046354895585e-09,402.6751403808594
37,51,-972,-510,325,1.1650131940841675,5.323242664337158,9.340884332686983e-08,-1.937161986376168e-09,305.3385009765625
38,52,-984,-520,325,1.5371125936508179,5.277839660644531,8.065900658493774e-08,-2.153775380264733e-09,131.46035766601562
39,53,-921,-511,325,1.5274631977081299,7.035484790802002,1.366768600519208e-07,-5.928856516845826e-09,221.36334228515625
40,54,-923,-499,325,1.1266132593154907,5.976239204406738,4.493044158948578e-08,-1.9933252826120906e-09,213.9932098388672
41,55,-875,-497,325,1.9899110794067383,11.702235221862793,2.1438638952986366e-07,-8.972565801457222e-09,598.366455078125
42,56,-885,-510,325,1.188638687133789,7.291713237762451,1.0159758545569275e-07,-3.3137035337915677e-09,342.9637451171875
43,57,-839,-504,325,2.669565200805664,19.06011390686035,1.0991612953148433e-07,-1.096564439251324e-08,814.2421264648438
44,58,-794,-498,325,1.8657677173614502,7.755661964416504,1.2726823683806288e-07,-3.1040536807580565e-09,347.5713195800781
45,59,-810,-499,325,1.7253426313400269,6.324306011199951,1.4396788117210235e-07,-2.444207058971415e-09,139.256591796875
46,60,-776,-516,325,3.476206064224243,28.95342445373535,2.797719389491249e-07,-2.2853349435081327e-08,1286.843017578125
47,61,-761,-508,325,3.228982448577881,24.325668334960938,7.50458610809801e-08,-3.5020315536371527e-09,1157.80517578125
48,62,-773,-524,325,3.650322675704956,20.45648956298828,1.7435026222756278e-07,-4.500920525174479e-09,825.8250732421875
49,64,-641,-516,325,1.7241456508636475,13.875462532043457,3.471360798812384e-08,-1.7523189566048814e-09,659.9905395507812
50,65,-632,-529,325,2.0648353099823,8.680323600769043,1.094365060794189e-07,-2.6035746891750478e-09,369.15667724609375
51,66,-670,-490,325,3.8123044967651367,15.807476997375488,2.730741925915936e-07,-7.942273505534558e-09,487.83392333984375
52,67,-591,-510,325,2.2235512733459473,8.987369537353516,4.832515401176352e-07,-9.864919547908357e-09,461.7930908203125
53,68,-560,-500,325,10.44482707977295,50.679893493652344,6.129232019702613e-07,-2.9795197420412478e-08,1352.7979736328125
54,69,-557,-511,325,3.7512290477752686,21.588172912597656,6.527448448423456e-08,-1.9764609948680345e-09,1058.1494140625
55,71,-475,-506,325,1.547772765159607,8.059727668762207,4.600774516916317e-08,-1.5603653924500804e-09,349.3460998535156
56,72,-414,-522,325,1.461517095565796,5.314245700836182,5.247390504337091e-07,-1.0331569377797223e-08,216.33518981933594
57,73,-1021,-481,325,2.405620574951172,13.408236503601074,2.2092066842560598e-07,-8.444673404994774e-09,571.4439697265625
58,76,-954,-469,325,1.9401041269302368,12.088152885437012,6.502490634829883e-08,-2.1969694952161944e-09,524.8346557617188
59,77,-922,-464,325,0.505865216255188,2.405202865600586,2.8422277864592616e-08,-7.372963350960049e-10,138.22113037109375
60,78,-932,-472,325,1.2132787704467773,7.162994384765625,7.417832570411065e-09,-4.0003991785830806e-10,267.2903747558594
61,79,-914,-482,325,0.8828311562538147,4.736785411834717,3.1548228918154564e-08,-7.709788918397464e-10,252.88072204589844
62,80,-892,-463,325,0.7144526839256287,5.068573474884033,1.517037695464296e-08,-4.801700148604482e-10,432.0751953125
63,81,-896,-480,325,0.5891703367233276,4.784677982330322,9.48683354096147e-09,-6.04550576266405e-10,235.79290771484375
64,84,-796,-464,325,4.310887336730957,32.96989059448242,1.8147630953535554e-07,-7.449109329371595e-09,1505.1424560546875
65,85,-816,-469,325,5.394799709320068,36.74513626098633,1.2180376529613568e-07,-6.414716757774386e-09,1306.3699951171875
66,86,-776,-478,325,8.234443664550781,58.597389221191406,3.9256261175069085e-07,-2.2312882208552764e-08,2190.1767578125
67,87,-767,-466,325,3.33831787109375,25.58617401123047,4.6465981995424954e-07,-1.7228133586399963e-08,1413.3785400390625
68,88,-727,-472,325,5.03875207901001,28.356670379638672,8.662728987474111e-07,-4.278038900906722e-08,1045.307861328125
69,89,-721,-460,325,7.75957727432251,41.6506462097168,5.010688752804526e-08,-2.4452442293210197e-09,1440.619140625
70,90,-694,-473,325,7.060664653778076,33.87359619140625,3.5507486728647564e-08,-2.947415644882767e-09,856.6439208984375
71,91,-681,-489,325,5.3211894035339355,33.137306213378906,8.496066783436618e-08,-2.029535872694055e-09,1364.7999267578125
72,92,-651,-479,325,3.0461204051971436,20.827707290649414,3.810212376720301e-07,-1.3806610077438108e-08,1054.349609375
73,93,-630,-450,325,2.16892409324646,11.32422161102295,3.6153039673081366e-08,-2.134911580853327e-09,462.54498291015625
74,94,-612,-487,325,1.9734809398651123,7.347113132476807,1.1440555880426473e-07,-2.2071755534369686e-09,253.71424865722656
75,96,-580,-459,325,3.1168053150177,19.64470863342285,1.2833642415444046e-07,-3.4845459850885163e-09,772.5628662109375
76,98,-537,-470,325,2.8980605602264404,15.643312454223633,5.927543043071637e-07,-1.4027863315391187e-08,702.5697021484375
77,99,-518,-462,325,1.871653437614441,13.84655475616455,1.6717683237743586e-08,-9.696370373291074e-10,592.2835693359375
78,101,-500,-469,325,1.5171492099761963,8.553735733032227,2.972381309973571e-07,-1.0611225675916103e-08,471.4050598144531
79,102,-489,-461,325,1.4654858112335205,5.164085865020752,3.8233579857660516e-07,-7.803037327391849e-09,161.2782745361328
80,103,-473,-469,325,1.7727224826812744,5.753678321838379,3.2305871400239994e-07,-5.987604190238471e-09,147.42681884765625
81,104,-465,-455,325,1.0122740268707275,3.535051107406616,1.1226574514466847e-07,-1.9549317720191084e-09,117.655517578125
82,105,-410,-463,325,1.0570896863937378,3.889798641204834,1.1675583522219313e-07,-2.4299446899078703e-09,122.82487487792969
83,107,-1004,-429,325,0.8952469229698181,4.528380393981934,5.4557620643436167e-08,-2.2438912949951373e-09,480.29400634765625
84,108,-1009,-416,325,1.679726481437683,10.366246223449707,2.845896140968307e-08,-9.01651087126254e-10,754.8963623046875
85,109,-1009,-438,325,1.1690020561218262,4.104798316955566,2.1996429566684128e-08,-3.557034666812342e-10,151.63369750976562
86,111,-1018,-454,325,2.093287944793701,7.861840724945068,1.2381758551782696e-07,-3.0022493380243986e-09,244.3286895751953
87,112,-968,-437,325,1.193372130393982,5.970112323760986,6.837770882839322e-08,-1.6864439844610501e-09,248.96090698242188
88,113,-913,-437,325,0.6949491500854492,3.667160987854004,2.0604527861678434e-08,-5.137555936229887e-10,147.6798095703125
