recording,label,video_ID,trial,trial_type,valid_frames,valid_trial,valid_frames_video,valid_frames_response,valid_response
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v657206,203,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v275212,193,oracle,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v508706,459,final_test_bonus,315,True,315,315,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v484679,19,live_test_main,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v461218,289,final_test_bonus,315,True,315,315,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,v848761,25,final_test_bonus,240,True,240,240,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v842629,576,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v606041,26,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v205227,685,live_test_bonus,324,True,324,324,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v678479,476,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,v835978,209,final_test_bonus,240,True,240,240,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v205227,557,live_test_bonus,324,True,324,324,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v057286,395,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v059909,616,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v017319,78,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v040998,18,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v334672,645,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v087650,324,live_test_bonus,324,True,324,324,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v587422,696,oracle,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v278516,431,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v942839,375,final_test_bonus,315,True,315,315,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v087650,633,live_test_bonus,324,True,324,324,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v442334,163,oracle,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v149904,516,oracle,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v736438,121,train,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v587422,665,oracle,300,True,300,300,True
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v389920,34,final_test_main,300,True,300,300,True
